Location,Neighborhood,Latitude,Longitude,Total Population,Persons per Square Mile,Median Household Income (USD),Median Housing Value (USD),,,
Northwest,Acres Home,29.870715,-95.436558,25846.00,2885.00,41358.00,134810.00,,,
West,Addicks / Park Ten,29.813269,-95.645476,20694.00,883.00,82869.00,221710.00,,,
West,Afton Oaks / River Oaks,29.747474,-95.433124,14875.00,4119.00,152092.00,1203824.00,,,
Southwest,Alief,29.682815,-95.593005,119598.00,8106.00,42928.00,100590.00,,,
South,Astrodome Area,29.685404,-95.403244,17944.00,5646.00,51510.00,126921.00,,,
Southwest,Braeburn,29.676927,-95.527819,20227.00,8304.00,37879.00,147438.00,,,
Southwest,Braeswood Place,29.689658,-95.440061,22599.00,7240.00,97320.00,453421.00,,,
Southwest,Brays Oaks,29.655711,-95.528019,65574.00,8320.00,45474.00,136266.00,,,
West,Briarforest Area,29.747968,-95.572067,43775.00,6508.00,77819.00,293178.00,,,
Northwest,Carverdale,29.858708,-95.546193,3673.00,1219.00,56949.00,124217.00,,,
Northwest,Central Northwest,29.83275,-95.444803,43494.00,5032.00,76430.00,297662.00,,,
South,Central Southwest,29.628331,-95.4308,73991.00,3115.00,53159.00,97141.00,,,
Southeast,Clear Lake,29.585744,-95.132836,62580.00,2589.00,82744.00,211282.00,,,
East,Clinton Park / Tri-Community,29.743711,-95.255446,3339.00,1210.00,32698.00,66017.00,,,
East,Denver Harbor / Port Houston,29.774383,-95.30114,16922.00,2648.00,32256.00,70508.00,,,
Downtown,Downtown,29.755972,-95.357313,12879.00,4755.00,109949.00,267350.00,,,
Northeast,East Houston,29.834983,-95.257997,19089.00,1788.00,30680.00,69538.00,,,
Northeast,East Little York / Homestead,29.871242,-95.300402,21354.00,3092.00,38527.00,64290.00,,,
Northeast,Eastex - Jensen,29.848152,-95.342907,26974.00,3509.00,30928.00,75409.00,,,
Southeast,Edgebrook,29.645393,-95.226551,23193.00,7730.00,48311.00,98075.00,,,
Northeast,El Dorado / Oates Prairie,29.805152,-95.24051,4169.00,926.00,43088.00,80000.00,,,
